0;3.30
1;3.30
2;3.30
3;3.30
4;3.30
5;3.30
6;3.30
7;3.30
8;3.30
9;3.30
10;3.30
11;3.30
12;3.30
13;3.30
14;3.26
15;3.17
16;3.10
17;3.02
18;2.95
19;2.87
20;2.80
21;2.74
22;2.67
23;2.60
24;2.54
25;2.48
26;2.42
27;2.36
28;2.31
29;2.24
30;2.20
31;2.15
32;2.09
33;2.04
34;1.99
35;1.95
36;1.90
37;1.86
38;1.82
39;1.77
40;1.73
41;1.69
42;1.65
43;1.61
44;1.58
45;1.54
46;1.51
47;1.47
48;1.44
49;1.41
50;1.37
51;1.34
52;1.31
53;1.29
54;1.25
55;1.23
56;1.20
57;1.17
58;1.15
59;1.12
60;1.10
61;1.07
62;1.05
63;1.03
64;1.00
65;0.98
66;0.96
67;0.94
68;0.92
69;0.90
70;0.88
71;0.85
72;0.84
73;0.82
74;0.81
75;0.79
76;0.77
77;0.76
78;0.74
79;0.73
80;0.71
81;0.69
82;0.68
83;0.67
84;0.65
85;0.64
86;0.63
87;0.61
88;0.60
89;0.59
90;0.58
91;0.57
92;0.55
93;0.54
94;0.53
95;0.52
96;0.50
97;0.50
98;0.49
99;0.48
100;0.47
101;0.46
102;0.45
103;0.44
104;0.43
105;0.43
106;0.42
107;0.41
108;0.40
109;0.39
110;0.39
111;0.38
112;0.37
113;0.36
114;0.36
115;0.35
116;0.34
117;0.34
118;0.33
119;0.32
120;0.32
121;0.31
122;0.31
123;0.30
124;0.29
125;0.29
126;0.28
127;0.28
128;0.27
129;0.27
130;0.26
131;0.26
132;0.25
133;0.25
134;0.24
135;0.24
136;0.24
137;0.23
138;0.23
139;0.22
140;0.22
141;0.22
142;0.21
143;0.21
144;0.20
145;0.20
146;0.20
147;0.19
148;0.19
149;0.19
150;0.18
151;0.18
152;0.18
153;0.17
154;0.17
155;0.17
156;0.17
157;0.16
158;0.16
159;0.16
160;0.16
161;0.15
162;0.15
163;0.15
164;0.15
165;0.14
166;0.15
167;0.14
168;0.14
169;0.13
170;0.13
171;0.13
172;0.13
173;0.13
174;0.13
175;0.13
176;0.12
177;0.12
178;0.12
179;0.12
180;0.11
181;0.11
182;0.11
183;0.11
184;0.11
185;0.11
186;0.10
187;0.10
188;0.10
189;0.10
190;0.10
191;0.10
192;0.10
193;0.09
194;0.09
195;0.09
196;0.09
197;0.09
198;0.09
199;0.09
200;0.09
201;0.09
202;0.08
203;0.08
204;0.08
205;0.08
206;0.08
207;0.08
208;0.08
209;0.08
210;0.07
211;0.07
212;0.07
213;0.07
214;0.07
215;0.07
216;0.07
217;0.07
218;0.07
219;0.07
220;0.07
221;0.06
222;0.06
223;0.06
224;0.06
225;0.06
226;0.06
227;0.06
228;0.06
229;0.06
230;0.06
231;0.06
232;0.06
233;0.06
234;0.06
235;0.06
236;0.06
237;0.06
238;0.05
239;0.05
240;0.05
241;0.05
242;0.05
243;0.05
244;0.05
245;0.05
246;0.05
247;0.05
248;0.05
249;0.05
250;0.05
251;0.05
252;0.05
253;0.05
254;0.05
255;0.04
256;0.04
257;0.04
258;0.04
259;0.04
260;0.04
261;0.04
262;0.04
263;0.04
264;0.04
265;0.04
266;0.04
267;0.04
268;0.04
269;0.04
270;0.04
271;0.05
272;0.03
273;0.04
274;0.04
275;0.04
276;0.04
277;0.04
278;0.04
279;0.04
280;0.04
281;0.03
282;0.04
283;0.03
284;0.03
285;0.03
286;0.03
287;0.03
288;0.03
289;0.03
290;0.03
291;0.03
292;0.03
293;0.03
294;0.03
